date,matchup,bet_home,won,pnl
2023-11-06,Portland Trail Blazers vs Memphis Grizzlies,True,False,-10.0
2023-11-06,Dallas Mavericks vs Charlotte Hornets,True,True,-1.0
2023-11-07,Houston Rockets vs Sacramento Kings,True,True,8.0
2023-11-07,Miami Heat vs Los Angeles Lakers,True,True,17.0
2023-11-07,Brooklyn Nets vs Milwaukee Bucks,True,False,7.0
2023-11-07,Detroit Pistons vs Golden State Warriors,True,False,-3.0
2023-11-07,Indiana Pacers vs San Antonio Spurs,True,True,6.0
2023-11-07,New York Knicks vs LA Clippers,True,True,15.0
2023-11-07,Minnesota Timberwolves vs Boston Celtics,True,True,24.0
2023-11-07,Orlando Magic vs Dallas Mavericks,True,False,14.0
2023-11-07,Oklahoma City Thunder vs Atlanta Hawks,True,True,23.0
2023-11-07,Denver Nuggets vs New Orleans Pelicans,True,True,32.0
2023-11-07,Chicago Bulls vs Utah Jazz,True,True,41.0
2023-11-07,Philadelphia 76ers vs Washington Wizards,True,True,50.0
2023-11-09,Memphis Grizzlies vs Miami Heat,True,False,40.0
2023-11-09,Philadelphia 76ers vs Boston Celtics,True,True,49.0
2023-11-09,Oklahoma City Thunder vs Cleveland Cavaliers,True,True,58.0
2023-11-09,Charlotte Hornets vs Washington Wizards,True,False,48.0
2023-11-09,Indiana Pacers vs Utah Jazz,True,True,57.0
2023-11-09,Houston Rockets vs Los Angeles Lakers,True,True,66.0
2023-11-09,Denver Nuggets vs Golden State Warriors,True,True,75.0
2023-11-09,Brooklyn Nets vs LA Clippers,True,True,84.0
2023-11-09,Dallas Mavericks vs Toronto Raptors,True,False,74.0
2023-11-09,Chicago Bulls vs Phoenix Suns,True,False,64.0
2023-11-09,Sacramento Kings vs Portland Trail Blazers,True,True,73.0
2023-11-09,Minnesota Timberwolves vs New Orleans Pelicans,True,True,82.0
2023-11-09,New York Knicks vs San Antonio Spurs,True,True,91.0
2023-11-09,Milwaukee Bucks vs Detroit Pistons,True,True,100.0
2023-11-10,Orlando Magic vs Atlanta Hawks,True,False,90.0
2023-11-10,Indiana Pacers vs Milwaukee Bucks,True,True,99.0
2023-11-11,San Antonio Spurs vs Minnesota Timberwolves,True,False,89.0
2023-11-11,Washington Wizards vs Charlotte Hornets,True,False,79.0
2023-11-11,Orlando Magic vs Milwaukee Bucks,True,True,88.0
2023-11-11,Phoenix Suns vs Los Angeles Lakers,True,False,78.0
2023-11-11,Dallas Mavericks vs LA Clippers,True,True,87.0
2023-11-11,Sacramento Kings vs Oklahoma City Thunder,True,True,96.0
2023-11-11,Boston Celtics vs Brooklyn Nets,True,True,105.0
2023-11-11,Houston Rockets vs New Orleans Pelicans,True,True,114.0
2023-11-11,Detroit Pistons vs Philadelphia 76ers,True,False,104.0
2023-11-11,Memphis Grizzlies vs Utah Jazz,True,False,94.0
2023-11-12,New York Knicks vs Charlotte Hornets,True,True,103.0
2023-11-12,Brooklyn Nets vs Washington Wizards,True,True,112.0
2023-11-12,Atlanta Hawks vs Miami Heat,True,False,102.0
2023-11-12,LA Clippers vs Memphis Grizzlies,True,False,92.0
2023-11-12,Boston Celtics vs Toronto Raptors,True,True,101.0
2023-11-12,Philadelphia 76ers vs Indiana Pacers,True,True,110.0
2023-11-12,Golden State Warriors vs Cleveland Cavaliers,True,False,100.0
2023-11-13,Chicago Bulls vs Detroit Pistons,True,True,9.0
2023-11-13,Houston Rockets vs Denver Nuggets,True,True,18.0
2023-11-13,New Orleans Pelicans vs Dallas Mavericks,True,False,8.0
2023-11-13,San Antonio Spurs vs Miami Heat,True,False,-2.0
2023-11-13,Golden State Warriors vs Minnesota Timberwolves,True,False,-12.0
2023-11-13,Phoenix Suns vs Oklahoma City Thunder,True,False,-22.0
2023-11-13,Los Angeles Lakers vs Portland Trail Blazers,True,True,-13.0
2023-11-14,Boston Celtics vs New York Knicks,True,True,-4.0
2023-11-14,Sacramento Kings vs Cleveland Cavaliers,True,True,5.0
2023-11-14,Toronto Raptors vs Washington Wizards,True,True,14.0
2023-11-14,Milwaukee Bucks vs Chicago Bulls,True,True,23.0
2023-11-15,Los Angeles Lakers vs Memphis Grizzlies,True,True,32.0
2023-11-15,Philadelphia 76ers vs Indiana Pacers,True,False,22.0
2023-11-15,Brooklyn Nets vs Orlando Magic,True,True,31.0
2023-11-15,Oklahoma City Thunder vs San Antonio Spurs,True,True,40.0
2023-11-15,Detroit Pistons vs Atlanta Hawks,True,False,30.0
2023-11-15,Golden State Warriors vs Minnesota Timberwolves,True,False,20.0
2023-11-15,New Orleans Pelicans vs Dallas Mavericks,True,True,29.0
2023-11-15,Charlotte Hornets vs Miami Heat,True,False,19.0
2023-11-15,Utah Jazz vs Portland Trail Blazers,True,True,28.0
2023-11-15,Denver Nuggets vs LA Clippers,True,True,37.0
2023-11-16,Chicago Bulls vs Orlando Magic,True,False,27.0
2023-11-16,Phoenix Suns vs Minnesota Timberwolves,True,True,36.0
2023-11-16,Los Angeles Lakers vs Sacramento Kings,True,False,26.0
2023-11-16,Philadelphia 76ers vs Boston Celtics,True,False,16.0
2023-11-16,Washington Wizards vs Dallas Mavericks,True,False,6.0
2023-11-16,Atlanta Hawks vs New York Knicks,True,False,-4.0
2023-11-16,Portland Trail Blazers vs Cleveland Cavaliers,True,False,-14.0
2023-11-16,Toronto Raptors vs Milwaukee Bucks,True,False,-24.0
2023-11-17,Golden State Warriors vs Oklahoma City Thunder,True,False,-34.0
2023-11-17,Miami Heat vs Brooklyn Nets,True,True,-25.0
2023-11-18,LA Clippers vs Houston Rockets,True,True,-16.0
2023-11-18,Charlotte Hornets vs Milwaukee Bucks,True,False,-26.0
2023-11-18,New Orleans Pelicans vs Denver Nuggets,True,True,-17.0
2023-11-18,Charlotte Hornets vs New York Knicks,True,False,-27.0
2023-11-18,Portland Trail Blazers vs Los Angeles Lakers,True,False,-37.0
2023-11-18,Washington Wizards vs New York Knicks,True,False,-47.0
2023-11-18,Utah Jazz vs Phoenix Suns,True,False,-57.0
2023-11-18,Atlanta Hawks vs Philadelphia 76ers,True,False,-67.0
