mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.6096381664276125,1.606493794706264,0.1577306270599365,0.08774592446546946,0.9,0.5,0.05,4,5,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-4.906786003098649,-4.2455400535322845,-4.034142643973955,-3.818495374559435,-10.799844283616496,-5.560961671756163,2.6446752541841905,1,-1.1647654325097472,-1.397291234786733,-1.4960315409462015,-1.6202116902597257,-1.6858145220574512,-1.4728228841119717,0.18342953050250943
4.299901533126831,0.5998802975198719,0.14046955108642578,0.1362604848177758,0.9,0.0,0.05,4,5,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-4.80801812387493,-4.167650590064806,-4.038628687880621,-3.8967489639654853,-10.907541169809601,-5.5637175071190885,2.690026608161708,2,-1.1539500826007718,-1.3874661626565037,-1.509651728360356,-1.6419104201741754,-1.6575199066282114,-1.4700996600840037,0.1860045711493769
6.534463119506836,2.7887711049013624,0.18296632766723633,0.11934807046743016,0.9,0.1,0.05,4,5,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-4.775012116916231,-4.249083176939841,-4.046740897942466,-3.865106784266257,-10.945152894187368,-5.576219174050432,2.701698776770309,3,-1.1169468643901113,-1.3667919755983065,-1.4827797303029626,-1.6016541173397767,-1.6759641436366164,-1.4488273662535547,0.1964557799349087
3.92972674369812,1.172249005352971,0.14640612602233888,0.05219890141471891,0.9,0.5,0.05,4,5,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.7}",-4.975162757085698,-4.293949004534064,-4.087411716012963,-3.883523966183693,-10.744328364067607,-5.596875161576804,2.5997872824016035,4,-1.3511542996207437,-1.6129241484465562,-1.698906224860805,-1.8409302125478526,-1.8966314543394374,-1.6801092679630791,0.19278162281737773
6.127560138702393,2.3494766640999396,0.22230381965637208,0.03591808021147247,0.9,0.0,0.05,4,5,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.7}",-4.851783874123943,-4.212739084187327,-4.1094345644396,-3.9406201145375275,-10.885020102164338,-5.599919547890548,2.6604918563846662,5,-1.359972886462788,-1.614237633291714,-1.7211939493231174,-1.853062638008193,-1.8755971215095126,-1.684812845719065,0.18790001433339723
4.87543478012085,0.8860243189559405,0.0867551326751709,0.03899188090946988,0.9,0.1,0.05,4,3,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-4.961566096322203,-4.2121605208229935,-4.070271634782518,-3.842507177655468,-10.982357675775333,-5.6137726210717025,2.7104011469076967,6,-1.058449045249394,-1.3374398832952004,-1.500367882013496,-1.5608567157462485,-1.6514861487397734,-1.4217199350088223,0.20852142468232812
6.044889163970947,1.206856235488583,0.11002459526062011,0.046894083619213614,0.9,0.0,0.05,4,3,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-4.961566096322203,-4.2121605208229935,-4.070271634782518,-3.842507177655468,-10.982357675775333,-5.6137726210717025,2.7104011469076967,6,-1.058449045249394,-1.3374398832952004,-1.500367882013496,-1.5608567157462485,-1.6514861487397734,-1.4217199350088223,0.20852142468232812
5.722673463821411,1.042934234811739,0.0839085578918457,0.041363067513907975,0.7,0.0,0.05,4,5,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-5.078582320162907,-4.2712868928917525,-3.993983976555285,-3.855039931751508,-10.87755411884023,-5.615289448040337,2.665067979109407,8,-1.1829586974867097,-1.4419250753903063,-1.4893241792501202,-1.5785371831062742,-1.6492244998312728,-1.4683939270129367,0.1596516074133129
6.150055027008056,1.1137630124801328,0.2105562686920166,0.15138391872743068,0.7,0.0,0.05,4,1,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.222407284791008,-4.257372883097094,-3.99654537708258,-3.92516006319835,-10.678255811542588,-5.615948283942324,2.5732776656997376,9,-0.9564895428144015,-1.359491711556255,-1.4368968683484502,-1.5537499333665088,-1.6433614138061905,-1.3899978939783613,0.23751523533245458
4.326944494247437,0.6709673190828778,0.08276233673095704,0.03364299620885326,0.7,0.1,0.05,4,1,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.222407284791008,-4.257372883097094,-3.99654537708258,-3.92516006319835,-10.678255811542588,-5.615948283942324,2.5732776656997376,9,-0.9564895428144015,-1.359491711556255,-1.4368968683484502,-1.5537499333665088,-1.6433614138061905,-1.3899978939783613,0.23751523533245458
