feature,importance
home_rolling_10_points,0.05139191
away_rolling_10_points,0.043019045
away_rolling_5_points,0.03312082
interaction_win_product,0.02789511
home_rolling_5_points,0.027846316
home_rolling_10_win_x,0.027330766
interaction_sos_diff,0.027177816
interaction_away_momentum,0.026928587
h2h_games_played,0.0268482
away_rolling_5_win_x,0.025213359
home_rolling_10_tov_pct_x,0.023499021
away_rest_days,0.023400065
h2h_avg_point_diff,0.023378082
home_rolling_10_ftr,0.022924138
interaction_sos_product,0.022573583
home_rest_days,0.022541909
home_rolling_5_ftr,0.021984534
home_rolling_5_efg,0.02195925
away_rolling_10_efg,0.021705749
away_rolling_10_ftr,0.021677213
away_rolling_10_win_x,0.021529133
home_rolling_10_orb_pct,0.021449653
away_rolling_5_ftr,0.021243986
interaction_win_ratio,0.021178003
away_rolling_5_orb_pct,0.021134268
away_travel_dist,0.02095336
away_rolling_5_efg,0.0209135
interaction_efg_product,0.02072822
interaction_home_composite,0.020501334
home_rolling_5_win_x,0.02021931
interaction_streak_diff,0.020216757
away_rolling_10_orb_pct,0.019927066
h2h_home_win_rate,0.019833842
home_rolling_10_efg,0.019770233
home_rolling_5_tov_pct_x,0.019490989
interaction_rest_diff,0.019390957
home_travel_dist,0.019349901
away_rolling_5_tov_pct_x,0.019309884
home_rolling_5_orb_pct,0.01918761
interaction_home_momentum,0.018994365
away_rolling_10_tov_pct_x,0.018675279
home_games_in_7d,0.017548433
away_games_in_7d,0.01603848
net_off_advantage,0.0
home_rolling_10_tov_pct_y,0.0
home_rolling_10_ts_pct,0.0
home_rolling_10_def_rating,0.0
away_rolling_10_pace,0.0
away_rolling_10_def_rating,0.0
home_rolling_10_ft_rate,0.0
away_rolling_5_pie,0.0
away_rolling_30_pie,0.0
combined_off_rating,0.0
away_rolling_30_tov_pct,0.0
home_rolling_30_win,0.0
away_rolling_5_tov_pct_y,0.0
away_rolling_5_def_rating,0.0
away_rolling_5_win_y,0.0
expected_total_simple,0.0
away_rolling_10_ts_pct,0.0
away_rolling_5_pts,0.0
away_rolling_10_off_rating,0.0
away_rolling_30_pts,0.0
home_rolling_10_pace,0.0
away_off_vs_home_def,0.0
home_rolling_30_tov_pct,0.0
away_rolling_5_efg_pct,0.0
home_rolling_10_pie,0.0
home_rolling_30_ts_pct,0.0
home_rolling_5_win_y,0.0
away_rolling_30_ts_pct,0.0
away_rolling_10_pts,0.0
pace_product,0.0
home_rolling_10_oreb_pct,0.0
home_rolling_5_oreb_pct,0.0
home_rolling_10_pts,0.0
home_rolling_30_oreb_pct,0.0
home_rolling_5_tov_pct_y,0.0
away_rolling_10_tov_pct_y,0.0
away_rolling_10_oreb_pct,0.0
home_rolling_10_win_y,0.0
home_rolling_30_off_rating,0.0
pace_harmonic_mean,0.0
away_rolling_30_ft_rate,0.0
pace_min,0.0
away_rolling_10_pie,0.0
home_rolling_10_efg_pct,0.0
away_rolling_5_off_rating,0.0
home_rolling_5_ts_pct,0.0
away_rolling_5_oreb_pct,0.0
combined_offensive_potential,0.0
home_rolling_30_pie,0.0
home_rolling_30_pace,0.0
away_rolling_30_oreb_pct,0.0
away_rolling_30_efg_pct,0.0
home_rolling_5_off_rating,0.0
away_rolling_5_ft_rate,0.0
away_rolling_10_efg_pct,0.0
home_rolling_30_efg_pct,0.0
home_rolling_5_def_rating,0.0
away_rolling_30_off_rating,0.0
home_rolling_30_ft_rate,0.0
away_rolling_30_win,0.0
away_rolling_5_ts_pct,0.0
away_rolling_30_def_rating,0.0
pace_sum,0.0
home_rolling_5_pace,0.0
combined_efg_pct,0.0
away_rolling_10_win_y,0.0
away_rolling_10_ft_rate,0.0
away_rolling_5_pace,0.0
home_off_vs_away_def,0.0
home_rolling_5_ft_rate,0.0
home_rolling_5_efg_pct,0.0
pace_max,0.0
home_rolling_10_off_rating,0.0
combined_ts_pct,0.0
away_b2b,0.0
home_rolling_5_pie,0.0
combined_def_rating,0.0
home_rolling_5_pts,0.0
home_b2b,0.0
home_rolling_30_def_rating,0.0
away_rolling_30_pace,0.0
home_rolling_30_pts,0.0
