feature,importance
h2h_home_win_rate,0.109203346
h2h_avg_point_diff,0.10665884
away_rest_days,0.06734061
away_rapm_avg,0.045758516
away_bpm_top,0.032168485
home_rapm_avg,0.031320304
away_b2b,0.03101099
away_rapm_top,0.030129636
away_rapm_std,0.029621083
depth_diff,0.029352007
home_rest_days,0.027668757
home_b2b,0.027073905
away_bpm_avg,0.026829276
is_weekend,0.026357293
rapm_diff,0.026239594
home_bpm_std,0.024281142
pace_differential,0.02399412
home_rolling_10_pace_x,0.020955207
away_rolling_5_efg_adj,0.02063127
home_rapm_std,0.020491738
home_rapm_top,0.020388823
away_rolling_10_efg_adj,0.019729517
home_rolling_10_efg_adj,0.019643478
home_rolling_5_pace_x,0.018439563
home_rolling_5_efg_adj,0.018439226
bpm_diff,0.018095974
home_bpm_top,0.017335542
home_games_in_7d,0.017236907
away_bpm_std,0.017011322
expected_pace_10,0.014895965
home_bpm_avg,0.014174174
away_rolling_5_pace_x,0.012724179
away_rolling_10_pace_x,0.012458512
expected_pace_5,0.012160236
h2h_games_played,0.010180379
home_rolling_5_efg_pct,0.0
home_rolling_5_ts_pct,0.0
home_rolling_5_tov_pct,0.0
home_rolling_30_pie,0.0
home_rolling_30_pace,0.0
home_rolling_30_def_rating,0.0
home_rolling_30_off_rating,0.0
home_rolling_30_ft_rate,0.0
home_rolling_30_oreb_pct,0.0
home_rolling_30_tov_pct,0.0
home_rolling_30_ts_pct,0.0
home_rolling_30_efg_pct,0.0
home_rolling_10_win,0.0
home_rolling_10_pts,0.0
home_rolling_10_pie,0.0
home_rolling_10_pace_y,0.0
home_rolling_10_def_rating,0.0
home_rolling_10_off_rating,0.0
home_rolling_10_ft_rate,0.0
home_rolling_10_oreb_pct,0.0
home_rolling_10_tov_pct,0.0
home_rolling_10_ts_pct,0.0
home_rolling_10_efg_pct,0.0
home_rolling_5_win,0.0
home_rolling_5_pts,0.0
home_rolling_5_pie,0.0
home_rolling_5_pace_y,0.0
home_rolling_5_def_rating,0.0
home_rolling_5_off_rating,0.0
home_rolling_5_ft_rate,0.0
home_rolling_5_oreb_pct,0.0
home_rolling_30_pts,0.0
home_rolling_30_win,0.0
away_rolling_5_efg_pct,0.0
away_rolling_5_ts_pct,0.0
away_rolling_30_pace,0.0
away_rolling_30_def_rating,0.0
away_rolling_30_off_rating,0.0
away_rolling_30_ft_rate,0.0
away_rolling_30_oreb_pct,0.0
away_rolling_30_tov_pct,0.0
away_rolling_30_ts_pct,0.0
away_rolling_30_efg_pct,0.0
away_rolling_10_win,0.0
away_rolling_10_pts,0.0
away_rolling_10_pie,0.0
away_rolling_10_pace_y,0.0
away_rolling_10_def_rating,0.0
away_rolling_10_off_rating,0.0
away_rolling_10_ft_rate,0.0
away_rolling_10_oreb_pct,0.0
away_rolling_10_tov_pct,0.0
away_rolling_10_ts_pct,0.0
away_rolling_10_efg_pct,0.0
away_rolling_5_win,0.0
away_rolling_5_pts,0.0
away_rolling_5_pie,0.0
away_rolling_5_pace_y,0.0
away_rolling_5_def_rating,0.0
away_rolling_5_off_rating,0.0
away_rolling_5_ft_rate,0.0
away_rolling_5_oreb_pct,0.0
away_rolling_5_tov_pct,0.0
away_games_in_7d,0.0
away_rolling_30_win,0.0
away_rolling_30_pie,0.0
away_rolling_30_pts,0.0
