Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
Nikola Jokic,DEN,7.52,6.76,0.77,EXTERNAL_JSON,,,
Shai Gilgeous-Alexander,OKC,6.66,4.81,1.85,EXTERNAL_JSON,32.6,33.1,24.0
Giannis Antetokounmpo,MIL,6.51,4.81,1.7,EXTERNAL_JSON,28.9,29.1,17.0
Jayson Tatum,BOS,4.12,2.43,1.69,EXTERNAL_JSON,,,
Kawhi Leonard,LAC,4.81,3.39,1.42,EXTERNAL_JSON,25.3,32.4,15.0
Luka Doncic,LAL,3.49,3.52,-0.02,EXTERNAL_JSON,,,
Donovan Mitchell,CLE,4.08,3.46,0.62,EXTERNAL_JSON,30.5,34.3,23.0
Victor Wembanyama,SAS,3.59,-0.15,3.73,EXTERNAL_JSON,26.2,34.7,12.0
Anthony Edwards,MIN,1.3,1.79,-0.49,EXTERNAL_JSON,28.7,34.4,20.0
Tyrese Haliburton,IND,2.83,3.79,-0.96,EXTERNAL_JSON,,,
Stephen Curry,GSW,4.28,5.89,-1.61,EXTERNAL_JSON,27.9,31.0,16.0
Jarrett Allen,CLE,4.01,2.7,1.31,EXTERNAL_JSON,14.3,26.1,15.0
Evan Mobley,CLE,2.05,0.02,2.04,EXTERNAL_JSON,18.9,34.1,24.0
James Harden,LAC,1.67,2.93,-1.27,EXTERNAL_JSON,26.6,35.6,24.0
Jamal Murray,DEN,2.55,3.68,-1.12,EXTERNAL_JSON,24.4,34.6,23.0
Aaron Gordon,DEN,4.18,1.35,2.83,EXTERNAL_JSON,18.8,28.3,13.0
Chet Holmgren,OKC,5.23,2.23,3.0,EXTERNAL_JSON,18.8,28.7,21.0
Jimmy Butler,GSW,3.13,2.58,0.55,EXTERNAL_JSON,,,
Rudy Gobert,MIN,4.79,0.1,4.69,EXTERNAL_JSON,11.1,31.3,24.0
Anthony Davis,DAL,2.7,0.91,1.79,EXTERNAL_JSON,19.6,29.3,10.0
Jalen Brunson,NYK,2.26,3.79,-1.53,EXTERNAL_JSON,28.3,34.9,22.0
Jaylen Brown,BOS,0.67,1.71,-1.04,EXTERNAL_JSON,29.1,33.5,24.0
Isaiah Hartenstein,OKC,3.29,1.1,2.19,EXTERNAL_JSON,12.2,27.8,19.0
