Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE
Nikola Jokic,DEN,7.52,6.76,0.77,EXTERNAL_JSON
Shai Gilgeous-Alexander,OKC,6.66,4.81,1.85,EXTERNAL_JSON
Giannis Antetokounmpo,MIL,6.51,4.81,1.7,EXTERNAL_JSON
Jayson Tatum,BOS,4.12,2.43,1.69,EXTERNAL_JSON
Kawhi Leonard,LAC,4.81,3.39,1.42,EXTERNAL_JSON
Luka Doncic,LAL,3.49,3.52,-0.02,EXTERNAL_JSON
Donovan Mitchell,CLE,4.08,3.46,0.62,EXTERNAL_JSON
Victor Wembanyama,SAS,3.59,-0.15,3.73,EXTERNAL_JSON
Anthony Edwards,MIN,1.3,1.79,-0.49,EXTERNAL_JSON
Tyrese Haliburton,IND,2.83,3.79,-0.96,EXTERNAL_JSON
Stephen Curry,GSW,4.28,5.89,-1.61,EXTERNAL_JSON
Jarrett Allen,CLE,4.01,2.7,1.31,EXTERNAL_JSON
Evan Mobley,CLE,2.05,0.02,2.04,EXTERNAL_JSON
James Harden,LAC,1.67,2.93,-1.27,EXTERNAL_JSON
Jamal Murray,DEN,2.55,3.68,-1.12,EXTERNAL_JSON
Aaron Gordon,DEN,4.18,1.35,2.83,EXTERNAL_JSON
Chet Holmgren,OKC,5.23,2.23,3.0,EXTERNAL_JSON
Jimmy Butler,GSW,3.13,2.58,0.55,EXTERNAL_JSON
Rudy Gobert,MIN,4.79,0.1,4.69,EXTERNAL_JSON
Anthony Davis,DAL,2.7,0.91,1.79,EXTERNAL_JSON
Jalen Brunson,NYK,2.26,3.79,-1.53,EXTERNAL_JSON
Jaylen Brown,BOS,0.67,1.71,-1.04,EXTERNAL_JSON
Isaiah Hartenstein,OKC,3.29,1.1,2.19,EXTERNAL_JSON
OG Anunoby,NYK,2.14,0.08,2.06,EXTERNAL_JSON
Karl-Anthony Towns,NYK,1.81,2.44,-0.63,EXTERNAL_JSON
Joel Embiid,PHI,3.18,1.17,2.01,EXTERNAL_JSON
Jalen Williams,OKC,-0.26,-0.59,0.33,EXTERNAL_JSON
Kevin Durant,HOU,4.11,3.64,0.47,EXTERNAL_JSON
Ivica Zubac,LAC,1.63,-0.26,1.89,EXTERNAL_JSON
Bam Adebayo,MIA,2.4,-0.14,2.54,EXTERNAL_JSON
Pascal Siakam,IND,3.71,2.07,1.63,EXTERNAL_JSON
Austin Reaves,LAL,2.4,2.25,0.15,EXTERNAL_JSON
