feature,importance
away_rest_days,0.21966118
home_rolling_5_pace_x,0.10514801
h2h_home_win_rate,0.07311644
home_bpm_std,0.053149622
expected_pace_10,0.04785764
away_rolling_10_efg_adj,0.044254813
h2h_games_played,0.03317623
away_rolling_5_pace_x,0.026623555
h2h_avg_point_diff,0.024678705
expected_pace_5,0.02430783
away_rolling_5_tov_pct,0.022605292
home_rapm_avg,0.017512467
away_rapm_avg,0.016133385
home_rolling_5_tov_pct,0.014361482
home_rapm_top,0.014345259
home_rolling_5_ft_rate,0.013255695
away_rolling_10_pace_x,0.013159598
away_rolling_5_oreb_pct,0.012495672
away_rolling_5_ft_rate,0.011050025
home_rolling_30_pts,0.00784351
away_rolling_30_pts,0.0074882056
away_rolling_30_ts_pct,0.007367881
away_rolling_5_efg_adj,0.007260512
away_rolling_10_pts,0.0069407076
away_rolling_5_ts_pct,0.006754536
home_rolling_10_pace_x,0.0065761814
home_bpm_top,0.006481347
home_rolling_5_pts,0.0062746326
bpm_diff,0.0060591633
away_rolling_5_pts,0.006025635
home_rolling_10_pts,0.0058217132
home_rolling_10_efg_adj,0.0055855955
away_rolling_30_oreb_pct,0.005569334
home_rapm_std,0.0049494086
away_rolling_10_tov_pct,0.0048736148
away_bpm_avg,0.004855697
home_rolling_30_tov_pct,0.0045366553
home_rolling_10_tov_pct,0.0043832865
away_rolling_5_efg_pct,0.004266875
home_rolling_30_ft_rate,0.004052512
away_rapm_top,0.004030836
home_rolling_5_ts_pct,0.003974777
away_rolling_30_efg_pct,0.003929109
home_rolling_5_efg_pct,0.0039254874
home_rolling_30_ts_pct,0.003672583
away_rolling_30_tov_pct,0.003583968
away_rapm_std,0.0035504587
away_rolling_30_ft_rate,0.0034850785
away_bpm_std,0.003464706
away_bpm_top,0.0034460525
pace_differential,0.003441965
depth_diff,0.0032960281
home_bpm_avg,0.00321341
home_rest_days,0.0031502396
home_rolling_10_ft_rate,0.0031444905
home_rolling_5_efg_adj,0.0031395413
rapm_diff,0.0030787175
home_rolling_5_oreb_pct,0.0029749842
home_rolling_10_oreb_pct,0.002847227
home_games_in_7d,0.0025633129
away_games_in_7d,0.0024585114
home_rolling_30_oreb_pct,0.0023798218
away_b2b,0.0023746218
away_rolling_10_efg_pct,0.0023597775
home_rolling_10_efg_pct,0.0020069107
away_rolling_10_oreb_pct,0.001975257
home_b2b,0.0019421717
is_weekend,0.0017032342
home_rolling_10_ts_pct,0.0016909931
home_rolling_30_efg_pct,0.0016000847
away_rolling_10_ts_pct,0.0007357821
home_rolling_30_pace,0.0
home_rolling_30_pie,0.0
home_rolling_30_off_rating,0.0
home_rolling_10_pace_y,0.0
home_rolling_10_def_rating,0.0
home_rolling_30_def_rating,0.0
home_rolling_10_win,0.0
home_rolling_10_off_rating,0.0
home_rolling_5_win,0.0
home_rolling_5_pace_y,0.0
home_rolling_5_off_rating,0.0
home_rolling_5_def_rating,0.0
home_rolling_5_pie,0.0
home_rolling_10_pie,0.0
away_rolling_5_def_rating,0.0
away_rolling_30_pace,0.0
away_rolling_30_def_rating,0.0
away_rolling_30_off_rating,0.0
away_rolling_10_ft_rate,0.0
away_rolling_10_def_rating,0.0
away_rolling_10_pace_y,0.0
away_rolling_10_pie,0.0
away_rolling_10_win,0.0
away_rolling_10_off_rating,0.0
away_rolling_5_pace_y,0.0
away_rolling_5_off_rating,0.0
home_rolling_30_win,0.0
away_rolling_5_pie,0.0
away_rolling_5_win,0.0
away_rolling_30_win,0.0
away_rolling_30_pie,0.0
