id,date,home_team,away_team,prob_home,prob_away,prob_mc_home,prob_mc_away,odd_home,odd_away,prediction,confidence,home_score,away_score,winner,correct,timestamp,fgm,fga,fg3m,tov,oreb,dreb,fta,ftm,ast,stl,blk,pf,pts,opp_fgm,opp_fga,opp_fg3m,opp_tov,opp_oreb,opp_dreb,opp_fta,opp_ftm,opp_ast,opp_stl,opp_blk,opp_pf,opp_pts,predicted_spread,predicted_total,ci_lower,ci_upper
2025-04-11_PHI_ATL,2025-04-11,PHI,ATL,,,,,,,N/A,N/A,124,124,AWAY,,2025-11-26 19:08:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,45.0,94.0,16.0,14.0,18.0,35.0,24.0,18.0,28.0,9.0,5.0,,124.0,0.0,0.0,0.0,0.0
2025-04-10_BKN_ATL,2025-04-10,BKN,ATL,,,,,,,N/A,N/A,133,133,AWAY,,2025-11-26 19:08:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,48.0,84.0,15.0,15.0,7.0,44.0,33.0,22.0,36.0,11.0,1.0,,133.0,0.0,0.0,0.0,0.0
2024-10-04_DenverNuggets_BostonCeltics,2024-10-04,Denver Nuggets,Boston Celtics,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,103,107,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-05_UtahJazz_NewZealandBreakers,2024-10-05,Utah Jazz,New Zealand Breakers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,116,87,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-05_LosAngelesLakers_MinnesotaTimberwolves,2024-10-05,Los Angeles Lakers,Minnesota Timberwolves,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,107,124,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-05_LAClippers_GoldenStateWarriors,2024-10-05,LA Clippers,Golden State Warriors,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,90,91,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-06_BostonCeltics_DenverNuggets,2024-10-06,Boston Celtics,Denver Nuggets,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,130,104,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-06_CharlotteHornets_NewYorkKnicks,2024-10-06,Charlotte Hornets,New York Knicks,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,109,111,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-06_TorontoRaptors_WashingtonWizards,2024-10-06,Toronto Raptors,Washington Wizards,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,125,98,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-07_DetroitPistons_MilwaukeeBucks,2024-10-07,Detroit Pistons,Milwaukee Bucks,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,120,87,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-07_LosAngelesLakers_PhoenixSuns,2024-10-07,Los Angeles Lakers,Phoenix Suns,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,114,118,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-07_NewOrleansPelicans_OrlandoMagic,2024-10-07,New Orleans Pelicans,Orlando Magic,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,106,104,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-07_Philadelphia76ers_NewZealandBreakers,2024-10-07,Philadelphia 76ers,New Zealand Breakers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,139,84,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
