feature,importance,is_p22
feature_3,0.12634613893931662,False
feature_2,0.12476733888299475,False
feature_1,0.12418710904512038,False
feature_46,0.12002101233584582,False
feature_0,0.11914742268953453,False
feature_26,0.0720056051122268,False
feature_27,0.06909070062191389,False
feature_30,0.059278090618631256,False
feature_20,0.03816539684947632,False
feature_21,0.03559338370826847,False
feature_28,0.031062885893953226,False
feature_29,0.02784360240014845,False
feature_25,0.01878453698466191,False
feature_24,0.018334072115080337,False
feature_23,0.008387674192552154,False
feature_22,0.006985029610275075,False
feature_15,0.0,False
feature_14,0.0,False
feature_13,0.0,False
feature_12,0.0,False
feature_11,0.0,False
feature_10,0.0,False
feature_9,0.0,False
feature_8,0.0,False
feature_7,0.0,False
feature_6,0.0,False
feature_5,0.0,False
feature_4,0.0,False
feature_16,0.0,False
feature_17,0.0,False
feature_18,0.0,False
feature_19,0.0,False
feature_31,0.0,False
feature_32,0.0,False
feature_34,0.0,False
feature_33,0.0,False
feature_36,0.0,False
feature_37,0.0,False
feature_38,0.0,False
feature_35,0.0,False
feature_39,0.0,False
feature_40,0.0,False
feature_42,0.0,False
feature_41,0.0,False
feature_43,0.0,False
feature_44,0.0,False
feature_45,0.0,False
feature_47,0.0,False
